<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
YNDX;D;170912;000000;1903.5000000;63299
YNDX;D;170913;000000;1876.0000000;91458
YNDX;D;170914;000000;1858.0000000;78679
YNDX;D;170915;000000;1895.0000000;62929
YNDX;D;170918;000000;1893.5000000;34221
YNDX;D;170919;000000;1872.5000000;56611
YNDX;D;170920;000000;1872.0000000;28321
YNDX;D;170921;000000;1872.0000000;68000
YNDX;D;170922;000000;1922.0000000;71184
YNDX;D;170925;000000;1853.0000000;169315
YNDX;D;170926;000000;1848.0000000;78559
YNDX;D;170927;000000;1867.0000000;45351
YNDX;D;170928;000000;1856.5000000;69221
YNDX;D;170929;000000;1873.0000000;32277
YNDX;D;171002;000000;1906.5000000;79804
YNDX;D;171003;000000;1961.0000000;80243
YNDX;D;171004;000000;1942.5000000;44684
YNDX;D;171005;000000;1925.0000000;54925
YNDX;D;171006;000000;1893.0000000;61013
YNDX;D;171009;000000;1920.0000000;35162
YNDX;D;171010;000000;1840.0000000;135935
YNDX;D;171011;000000;1855.5000000;63140
YNDX;D;171012;000000;1863.0000000;45177
YNDX;D;171013;000000;1858.0000000;73895
YNDX;D;171016;000000;1832.0000000;57513
YNDX;D;171017;000000;1833.0000000;45784
YNDX;D;171018;000000;1852.0000000;52678
YNDX;D;171019;000000;1839.5000000;49929
YNDX;D;171020;000000;1796.0000000;60694
YNDX;D;171023;000000;1799.0000000;44296
YNDX;D;171024;000000;1889.0000000;354986
YNDX;D;171025;000000;1855.0000000;54987
YNDX;D;171026;000000;1896.0000000;85957
YNDX;D;171027;000000;1921.0000000;105024
YNDX;D;171030;000000;1898.0000000;47439
YNDX;D;171031;000000;1950.0000000;113754
YNDX;D;171101;000000;1991.5000000;103542
YNDX;D;171102;000000;1932.0000000;90071
YNDX;D;171103;000000;1965.0000000;46576
YNDX;D;171107;000000;1950.5000000;62261
YNDX;D;171108;000000;1935.5000000;58153
YNDX;D;171109;000000;1890.0000000;70132
YNDX;D;171110;000000;1856.5000000;57153
YNDX;D;171113;000000;1860.0000000;62277
YNDX;D;171114;000000;1890.0000000;92519
YNDX;D;171115;000000;1873.0000000;30430
YNDX;D;171116;000000;1925.5000000;43257
YNDX;D;171117;000000;1949.5000000;53663
YNDX;D;171120;000000;2002.5000000;61174
YNDX;D;171121;000000;2038.0000000;84388
YNDX;D;171122;000000;1975.0000000;66079
YNDX;D;171123;000000;1987.5000000;23217
YNDX;D;171124;000000;2025.0000000;119155
YNDX;D;171127;000000;2017.0000000;61335
YNDX;D;171128;000000;1991.5000000;63193
YNDX;D;171129;000000;1957.0000000;86974
YNDX;D;171130;000000;1940.5000000;30667
YNDX;D;171201;000000;1931.5000000;28431
YNDX;D;171204;000000;1907.0000000;58476
YNDX;D;171205;000000;1899.0000000;57854
YNDX;D;171206;000000;1900.0000000;49809
YNDX;D;171207;000000;1949.5000000;84763
YNDX;D;171208;000000;1957.0000000;33731
YNDX;D;171211;000000;1997.5000000;51580
YNDX;D;171212;000000;1954.0000000;33762
YNDX;D;171213;000000;1938.0000000;54043
YNDX;D;171214;000000;1919.0000000;50301
YNDX;D;171215;000000;1895.0000000;64596
YNDX;D;171218;000000;1892.0000000;36314
YNDX;D;171219;000000;1902.0000000;33679
YNDX;D;171220;000000;1873.5000000;122117
YNDX;D;171221;000000;1884.0000000;50054
YNDX;D;171222;000000;1832.0000000;58688
YNDX;D;171225;000000;1847.0000000;18185
YNDX;D;171226;000000;1840.0000000;63442
YNDX;D;171227;000000;1865.0000000;25091
YNDX;D;171228;000000;1883.5000000;27016
YNDX;D;171229;000000;1894.0000000;20585
YNDX;D;180103;000000;1943.5000000;33127
YNDX;D;180104;000000;1978.0000000;38178
YNDX;D;180105;000000;1942.5000000;23213
YNDX;D;180109;000000;1963.0000000;42713
YNDX;D;180110;000000;1972.0000000;44374
YNDX;D;180111;000000;1963.0000000;40478
YNDX;D;180112;000000;1955.0000000;17647
YNDX;D;180115;000000;1970.0000000;14687
YNDX;D;180116;000000;1992.5000000;118550
YNDX;D;180117;000000;2035.0000000;45442
YNDX;D;180118;000000;2099.0000000;83619
YNDX;D;180119;000000;2098.5000000;48107
YNDX;D;180122;000000;2118.5000000;38349
YNDX;D;180123;000000;2145.0000000;59496
YNDX;D;180124;000000;2138.0000000;18971
YNDX;D;180125;000000;2134.0000000;44055
YNDX;D;180126;000000;2176.0000000;47179
YNDX;D;180129;000000;2197.5000000;29552
YNDX;D;180130;000000;2150.0000000;136698
YNDX;D;180131;000000;2179.0000000;29158
YNDX;D;180201;000000;2202.0000000;67861
YNDX;D;180202;000000;2150.0000000;49846
YNDX;D;180205;000000;2150.0000000;39726
YNDX;D;180206;000000;2054.5000000;114144
YNDX;D;180207;000000;2140.5000000;48058
YNDX;D;180208;000000;2159.0000000;60895
YNDX;D;180209;000000;2086.5000000;80483
YNDX;D;180212;000000;2127.0000000;47944
YNDX;D;180213;000000;2135.0000000;70378
YNDX;D;180214;000000;2200.0000000;94995
YNDX;D;180215;000000;2283.5000000;381640
YNDX;D;180216;000000;2371.5000000;133549
YNDX;D;180219;000000;2416.5000000;47577
YNDX;D;180220;000000;2413.0000000;54816
YNDX;D;180221;000000;2473.5000000;86040
YNDX;D;180222;000000;2435.5000000;73258
YNDX;D;180226;000000;2383.0000000;81045
YNDX;D;180227;000000;2386.0000000;68500
YNDX;D;180228;000000;2343.5000000;35038
YNDX;D;180301;000000;2310.0000000;49309
YNDX;D;180302;000000;2280.5000000;90805
YNDX;D;180305;000000;2347.5000000;46502
YNDX;D;180306;000000;2389.5000000;71962
YNDX;D;180307;000000;2427.5000000;78708
YNDX;D;180309;000000;2469.0000000;45125
YNDX;D;180312;000000;2450.0000000;57515
YNDX;D;180313;000000;2415.0000000;67323
YNDX;D;180314;000000;2430.5000000;44268
YNDX;D;180315;000000;2446.0000000;81508
YNDX;D;180316;000000;2436.0000000;25193
YNDX;D;180319;000000;2426.0000000;28486
YNDX;D;180320;000000;2463.0000000;37037
YNDX;D;180321;000000;2497.5000000;33640
YNDX;D;180322;000000;2385.0000000;68071
YNDX;D;180323;000000;2385.5000000;60192
YNDX;D;180326;000000;2344.0000000;81365
YNDX;D;180327;000000;2364.0000000;39240
YNDX;D;180328;000000;2265.0000000;94132
YNDX;D;180329;000000;2314.0000000;82008
YNDX;D;180330;000000;2287.0000000;30277
YNDX;D;180402;000000;2253.0000000;48226
YNDX;D;180403;000000;2263.0000000;51466
YNDX;D;180404;000000;2249.5000000;69263
YNDX;D;180405;000000;2315.0000000;56004
YNDX;D;180406;000000;2312.0000000;36394
YNDX;D;180409;000000;2124.0000000;192944
YNDX;D;180410;000000;2174.5000000;158788
YNDX;D;180411;000000;2240.0000000;118651
YNDX;D;180412;000000;2161.5000000;306563
YNDX;D;180413;000000;2083.5000000;257105
YNDX;D;180416;000000;2020.5000000;190633
YNDX;D;180417;000000;2103.5000000;126975
YNDX;D;180418;000000;2142.0000000;227818
YNDX;D;180419;000000;2096.5000000;250559
YNDX;D;180420;000000;2084.5000000;79660
YNDX;D;180423;000000;2140.5000000;150633
YNDX;D;180424;000000;2105.5000000;169932
YNDX;D;180425;000000;2025.0000000;481669
YNDX;D;180426;000000;2061.0000000;178831
YNDX;D;180427;000000;2015.5000000;290886
YNDX;D;180428;000000;2030.0000000;35195
YNDX;D;180430;000000;2097.5000000;111911
