<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
TTLK;D;181127;000000;0.1740000;1170000
TTLK;D;181128;000000;0.1768000;80000
TTLK;D;181129;000000;0.1778000;2420000
TTLK;D;181130;000000;0.1806000;1970000
TTLK;D;181203;000000;0.1866000;2670000
TTLK;D;181204;000000;0.1854000;530000
TTLK;D;181205;000000;0.1770000;800000
TTLK;D;181206;000000;0.1808000;300000
TTLK;D;181207;000000;0.1804000;130000
TTLK;D;181210;000000;0.1856000;880000
TTLK;D;181211;000000;0.1844000;500000
TTLK;D;181212;000000;0.1802000;280000
TTLK;D;181213;000000;0.1810000;570000
TTLK;D;181214;000000;0.1770000;1320000
TTLK;D;181217;000000;0.1770000;270000
TTLK;D;181218;000000;0.1756000;280000
TTLK;D;181219;000000;0.1766000;1640000
TTLK;D;181220;000000;0.1774000;1030000
TTLK;D;181221;000000;0.1756000;230000
TTLK;D;181224;000000;0.1750000;720000
TTLK;D;181225;000000;0.1712000;1380000
TTLK;D;181226;000000;0.1748000;390000
TTLK;D;181227;000000;0.1760000;1790000
TTLK;D;181228;000000;0.1748000;4800000
TTLK;D;181229;000000;0.1742000;490000
TTLK;D;190103;000000;0.1784000;1750000
TTLK;D;190104;000000;0.1786000;110000
TTLK;D;190108;000000;0.1772000;1120000
TTLK;D;190109;000000;0.1800000;850000
TTLK;D;190110;000000;0.1842000;1120000
TTLK;D;190111;000000;0.1900000;4690000
TTLK;D;190114;000000;0.1900000;1450000
TTLK;D;190115;000000;0.1880000;890000
TTLK;D;190116;000000;0.1900000;560000
TTLK;D;190117;000000;0.1932000;2410000
TTLK;D;190118;000000;0.1912000;2530000
TTLK;D;190121;000000;0.1940000;660000
TTLK;D;190122;000000;0.1968000;6200000
TTLK;D;190123;000000;0.1988000;1540000
TTLK;D;190124;000000;0.1988000;710000
TTLK;D;190125;000000;0.2020000;2140000
TTLK;D;190128;000000;0.2006000;1090000
TTLK;D;190129;000000;0.1998000;1200000
TTLK;D;190130;000000;0.1998000;370000
TTLK;D;190131;000000;0.1996000;1210000
TTLK;D;190201;000000;0.1998000;220000
TTLK;D;190204;000000;0.1998000;690000
TTLK;D;190205;000000;0.2026000;2380000
TTLK;D;190206;000000;0.2050000;2180000
TTLK;D;190207;000000;0.2060000;2340000
TTLK;D;190208;000000;0.2084000;730000
TTLK;D;190211;000000;0.2054000;1940000
TTLK;D;190212;000000;0.2076000;940000
TTLK;D;190213;000000;0.1990000;4490000
TTLK;D;190214;000000;0.2000000;2510000
TTLK;D;190215;000000;0.2018000;4850000
TTLK;D;190218;000000;0.2008000;1110000
TTLK;D;190219;000000;0.2034000;700000
TTLK;D;190220;000000;0.2016000;700000
TTLK;D;190221;000000;0.2004000;2750000
TTLK;D;190222;000000;0.2000000;320000
TTLK;D;190225;000000;0.1990000;620000
TTLK;D;190226;000000;0.1996000;220000
TTLK;D;190227;000000;0.2024000;2910000
TTLK;D;190228;000000;0.2014000;700000
TTLK;D;190301;000000;0.2026000;490000
TTLK;D;190304;000000;0.2020000;290000
TTLK;D;190305;000000;0.2024000;1420000
TTLK;D;190306;000000;0.2010000;570000
TTLK;D;190307;000000;0.2014000;1540000
TTLK;D;190311;000000;0.2014000;930000
TTLK;D;190312;000000;0.2078000;3090000
TTLK;D;190313;000000;0.2096000;3500000
TTLK;D;190314;000000;0.2122000;17270000
