<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
RGSS;D;170516;000000;0.4100000;17498000
RGSS;D;170517;000000;0.4200000;3276000
RGSS;D;170518;000000;0.4190000;13781000
RGSS;D;170519;000000;0.4240000;15381000
RGSS;D;170522;000000;0.4310000;10502000
RGSS;D;170523;000000;0.4350000;16127000
RGSS;D;170524;000000;0.4260000;12752000
RGSS;D;170525;000000;0.4350000;13527000
RGSS;D;170526;000000;0.4320000;13226000
RGSS;D;170529;000000;0.4160000;14977000
RGSS;D;170530;000000;0.4160000;17132000
RGSS;D;170531;000000;0.4270000;21941000
RGSS;D;170601;000000;0.4260000;19748000
RGSS;D;170602;000000;0.4200000;18689000
RGSS;D;170605;000000;0.4230000;12343000
RGSS;D;170606;000000;0.4300000;22401000
RGSS;D;170607;000000;0.4200000;17675000
RGSS;D;170608;000000;0.4210000;18257000
RGSS;D;170609;000000;0.4320000;15473000
RGSS;D;170613;000000;0.4300000;12266000
RGSS;D;170614;000000;0.4300000;13033000
RGSS;D;170615;000000;0.4230000;12101000
RGSS;D;170616;000000;0.4280000;12108000
RGSS;D;170619;000000;0.4280000;13900000
RGSS;D;170620;000000;0.4250000;12281000
RGSS;D;170621;000000;0.4240000;12757000
RGSS;D;170622;000000;0.4270000;12395000
RGSS;D;170623;000000;0.4180000;12460000
RGSS;D;170626;000000;0.4280000;13500000
RGSS;D;170627;000000;0.4340000;13017000
RGSS;D;170628;000000;0.4270000;15493000
RGSS;D;170629;000000;0.4260000;14312000
RGSS;D;170630;000000;0.4200000;13414000
RGSS;D;170703;000000;0.4180000;12113000
RGSS;D;170704;000000;0.4160000;6906000
RGSS;D;170705;000000;0.4150000;18018000
RGSS;D;170706;000000;0.4150000;20272000
RGSS;D;170707;000000;0.4130000;17362000
RGSS;D;170710;000000;0.4130000;22458000
RGSS;D;170711;000000;0.4130000;22215000
RGSS;D;170712;000000;0.4150000;17365000
RGSS;D;170713;000000;0.4150000;12272000
RGSS;D;170714;000000;0.4230000;12008000
RGSS;D;170717;000000;0.4300000;9200000
RGSS;D;170718;000000;0.4350000;10867000
RGSS;D;170719;000000;0.4260000;11953000
RGSS;D;170720;000000;0.4320000;12055000
RGSS;D;170721;000000;0.4320000;11859000
RGSS;D;170724;000000;0.4350000;12821000
RGSS;D;170725;000000;0.4300000;14531000
RGSS;D;170726;000000;0.4350000;11745000
RGSS;D;170727;000000;0.4350000;11637000
RGSS;D;170728;000000;0.4340000;12106000
RGSS;D;170731;000000;0.4350000;13289000
RGSS;D;170801;000000;0.4360000;11941000
RGSS;D;170802;000000;0.4300000;12816000
RGSS;D;170803;000000;0.4350000;12126000
RGSS;D;170804;000000;0.4380000;10594000
RGSS;D;170807;000000;0.4380000;11983000
RGSS;D;170808;000000;0.4330000;11718000
RGSS;D;170809;000000;0.4380000;12305000
RGSS;D;170810;000000;0.4330000;9319000
RGSS;D;170811;000000;0.4300000;1319000
RGSS;D;170814;000000;0.4300000;3620000
RGSS;D;170815;000000;0.4300000;4475000
RGSS;D;170816;000000;0.4330000;5715050000
RGSS;D;170817;000000;0.4200000;30709000
RGSS;D;170818;000000;0.3800000;1582989000
RGSS;D;170821;000000;0.4050000;13287000
RGSS;D;170822;000000;0.3800000;7831000
RGSS;D;170823;000000;0.3730000;2230000
RGSS;D;170824;000000;0.3640000;5563000
RGSS;D;170825;000000;0.3620000;12274000
RGSS;D;170828;000000;0.3770000;4028000
RGSS;D;170829;000000;0.3790000;2798000
RGSS;D;170830;000000;0.3940000;1432000
RGSS;D;170831;000000;0.3790000;897000
RGSS;D;170901;000000;0.3790000;226000
RGSS;D;170904;000000;0.3740000;824000
RGSS;D;170905;000000;0.3650000;1770000
RGSS;D;170906;000000;0.3830000;1457000
RGSS;D;170907;000000;0.3720000;447000
RGSS;D;170908;000000;0.3740000;421000
RGSS;D;170911;000000;0.3740000;368000
RGSS;D;170912;000000;0.3680000;3436000
RGSS;D;170913;000000;0.3680000;1914000
RGSS;D;170914;000000;0.3740000;8596000
RGSS;D;170915;000000;0.3710000;977000
RGSS;D;170918;000000;0.3650000;5210000
RGSS;D;170919;000000;0.3630000;2136000
RGSS;D;170920;000000;0.3620000;95000
RGSS;D;170921;000000;0.3520000;2366000
RGSS;D;170922;000000;0.3500000;4261000
RGSS;D;170925;000000;0.3460000;2269000
RGSS;D;170926;000000;0.3360000;4227000
RGSS;D;170927;000000;0.3440000;2390000
RGSS;D;170928;000000;0.3410000;126000
RGSS;D;170929;000000;0.3410000;1113000
RGSS;D;171002;000000;0.3390000;51000
RGSS;D;171003;000000;0.3330000;1942000
RGSS;D;171004;000000;0.3190000;3598000
RGSS;D;171005;000000;0.3530000;13370000
RGSS;D;171006;000000;0.3460000;2781000
RGSS;D;171009;000000;0.3820000;11701000
RGSS;D;171010;000000;0.3820000;7032000
RGSS;D;171011;000000;0.3770000;1269000
RGSS;D;171012;000000;0.3710000;1509000
RGSS;D;171013;000000;0.3730000;2146000
RGSS;D;171016;000000;0.3860000;14899000
RGSS;D;171017;000000;0.3920000;34576000
RGSS;D;171018;000000;0.3840000;12375000
RGSS;D;171019;000000;0.4160000;16226000
RGSS;D;171020;000000;0.4200000;7632000
RGSS;D;171023;000000;0.4180000;4875000
RGSS;D;171024;000000;0.4180000;4839000
RGSS;D;171025;000000;0.4250000;3794000
RGSS;D;171026;000000;0.4170000;970000
RGSS;D;171027;000000;0.4190000;1451000
RGSS;D;171030;000000;0.4200000;240000
RGSS;D;171031;000000;0.4200000;726000
RGSS;D;171101;000000;0.4190000;1121000
RGSS;D;171102;000000;0.4200000;2756000
RGSS;D;171103;000000;0.4220000;311000
RGSS;D;171107;000000;0.4210000;991000
RGSS;D;171108;000000;0.4210000;1432000
RGSS;D;171109;000000;0.4230000;576000
RGSS;D;171110;000000;0.4220000;690000
RGSS;D;171113;000000;0.4230000;474000
RGSS;D;171114;000000;0.4230000;277000
RGSS;D;171115;000000;0.4230000;2976000
RGSS;D;171116;000000;0.4230000;3418000
RGSS;D;171117;000000;0.4220000;194000
RGSS;D;171120;000000;0.4240000;371000
RGSS;D;171121;000000;0.4230000;981000
RGSS;D;171122;000000;0.4240000;459000
RGSS;D;171123;000000;0.4240000;473000
RGSS;D;171124;000000;0.4240000;3638000
RGSS;D;171127;000000;0.4230000;1879000
RGSS;D;171128;000000;0.4230000;99000
RGSS;D;171129;000000;0.4230000;322000
RGSS;D;171130;000000;0.4230000;1111000
RGSS;D;171201;000000;0.4230000;194000
RGSS;D;171204;000000;0.4250000;299000
RGSS;D;171205;000000;0.4230000;1540000
RGSS;D;171206;000000;0.4240000;505000
RGSS;D;171207;000000;0.4230000;889000
RGSS;D;171208;000000;0.4230000;114000
RGSS;D;171211;000000;0.4220000;73000
RGSS;D;171212;000000;0.4200000;345000
RGSS;D;171213;000000;0.4200000;929000
RGSS;D;171214;000000;0.4210000;4579000
RGSS;D;171215;000000;0.4230000;516000
RGSS;D;171218;000000;0.4220000;630000
RGSS;D;171219;000000;0.4190000;563000
RGSS;D;171220;000000;0.4180000;409000
RGSS;D;171221;000000;0.4190000;2636000
RGSS;D;171222;000000;0.4200000;2820000
RGSS;D;171225;000000;0.4150000;1761000
RGSS;D;171226;000000;0.4150000;279000
RGSS;D;171227;000000;0.4140000;5679000
